sentence,animal,color,label,environment,shortcut_correlation
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue bird,bird,blue,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red fish,fish,red,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red fish,fish,red,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue bird,bird,blue,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red fish,fish,red,no,train,0.9
The blue bird,bird,blue,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red fish,fish,red,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red fish,fish,red,no,train,0.9
The blue bird,bird,blue,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red fish,fish,red,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue bird,bird,blue,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
The red bird,bird,red,yes,train,0.9
The red bird,bird,red,yes,train,0.9
The blue fish,fish,blue,no,train,0.9
